year,month,day,skt
1989,5,26,-0.5400146484374773
1989,5,27,-0.35001220703122726
1989,5,28,-0.05002441406247726
1989,5,29,0.24999389648439774
1989,5,30,0.5599914550781477
1989,5,31,0.7499938964843977
1990,5,1,-4.440008544921852
1990,5,2,-4.470007324218727
1990,5,3,-5.000006103515602
1990,5,4,-5.620001220703102
1990,5,5,-6.519995117187477
1990,5,6,-0.9700073242187273
1990,5,7,-0.25000610351560226
1990,5,8,-0.42001953124997726
1990,5,9,-0.5199951171874773
1990,5,10,-0.6200012207031023
1990,5,11,-2.5199951171874773
1990,5,12,-0.05002441406247726
1990,5,13,-0.6700195312499773
1990,5,14,-0.05002441406247726
1990,5,15,-0.7500061035156023
1990,5,16,-0.05002441406247726
1990,5,17,-1.7699951171874773
1990,5,18,-1.6399902343749773
1990,5,19,-1.5400146484374773
1990,5,20,-1.4400085449218523
1990,5,21,-1.3500122070312273
1990,5,22,-1.2500061035156023
1990,5,23,-1.2500061035156023
1990,5,24,-1.0400146484374773
1990,5,25,-0.8500122070312273
1990,5,26,-0.6399902343749773
1990,5,27,-0.44000854492185226
1990,5,28,-0.25000610351560226
1990,5,29,-0.05002441406247726
1990,5,30,0.14998779296877274
1990,5,31,0.24999389648439774
1991,5,1,-1.8500122070312273
1991,5,2,-1.2699951171874773
1991,5,3,-0.6700195312499773
1991,5,4,-0.29999389648435226
1991,5,5,-0.05002441406247726
1991,5,6,-0.05002441406247726
1991,5,7,-1.2999938964843523
1991,5,8,-1.7699951171874773
1991,5,9,-1.6399902343749773
1991,5,10,-1.5400146484374773
1991,5,11,-1.5400146484374773
1991,5,12,-1.5400146484374773
1991,5,13,-1.4400085449218523
1991,5,14,-1.4400085449218523
1991,5,15,-1.4400085449218523
1991,5,16,-1.2500061035156023
1991,5,17,-1.1399902343749773
1991,5,18,-1.0400146484374773
1991,5,19,-0.9400085449218523
1991,5,20,-0.8500122070312273
1991,5,21,-0.6399902343749773
1991,5,22,-0.5400146484374773
1991,5,23,-0.5400146484374773
1991,5,24,-0.44000854492185226
1991,5,25,-0.35001220703122726
1991,5,26,-0.35001220703122726
1991,5,27,-0.25000610351560226
1991,5,28,-0.13999023437497726
1991,5,29,-0.13999023437497726
1991,5,30,0.05999145507814774
1991,5,31,0.24999389648439774
1992,5,1,-11.620001220703102
1992,5,2,-14.870001220703102
1992,5,3,-15.019995117187477
1992,5,4,-14.319982910156227
1992,5,5,-14.269995117187477
1992,5,6,-12.470007324218727
1992,5,7,-9.639990234374977
1992,5,8,-9.100012207031227
1992,5,9,-3.0400146484374773
1992,5,10,-1.8700012207031023
1992,5,11,-0.5000061035156023
1992,5,12,-0.26999511718747726
1992,5,13,-0.7200073242187273
1992,5,14,-0.17001953124997726
1992,5,15,-3.3899902343749773
1992,5,16,-2.7200073242187273
1992,5,17,-1.0000061035156023
1992,5,18,-0.44998779296872726
1992,5,19,-0.42001953124997726
1992,5,20,-0.44998779296872726
1992,5,21,-0.9200195312499773
1992,5,22,-0.8700012207031023
1992,5,23,-0.9700073242187273
1992,5,24,-2.4200195312499773
1992,5,25,-2.5199951171874773
1992,5,26,-0.7699951171874773
1992,5,27,-0.8700012207031023
1992,5,28,-1.9700073242187273
1992,5,29,-1.8500122070312273
1992,5,30,-1.0199951171874773
1992,5,31,-0.37000122070310226
1993,5,1,-1.4400085449218523
1993,5,2,-1.3500122070312273
1993,5,3,-1.2500061035156023
1993,5,4,-1.1399902343749773
1993,5,5,-1.1399902343749773
1993,5,6,-1.0400146484374773
1993,5,7,-1.0400146484374773
1993,5,8,-1.0400146484374773
1993,5,9,-0.9400085449218523
1993,5,10,-0.9400085449218523
1993,5,11,-0.9400085449218523
1993,5,12,-0.8500122070312273
1993,5,13,-0.8500122070312273
1993,5,14,-0.8500122070312273
1993,5,15,-0.7500061035156023
1993,5,16,-0.7500061035156023
1993,5,17,-0.7500061035156023
1993,5,18,-0.7500061035156023
1993,5,19,-0.6399902343749773
1993,5,20,-0.5400146484374773
1993,5,21,-0.44000854492185226
1993,5,22,-0.25000610351560226
1993,5,23,-0.13999023437497726
1993,5,24,0.05999145507814774
1993,5,25,0.14998779296877274
1993,5,26,0.36000976562502274
1993,5,27,0.44997558593752274
1993,5,28,0.5599914550781477
1993,5,29,0.6499877929687727
1993,5,30,0.7499938964843977
1993,5,31,0.8600097656250227
1994,5,1,-2.7500061035156023
